id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,Y1,Y2,Y3
1,0.0094,0.0025,0.0015,0.0434,0.0139,0.0055,0.0011,0.0025,0.0011,0.0436,0.0117,0.0135,0.0301,0.0315,0.0017,0.0585,0.0159,0.0084,4,4,4
2,0.0082,0.0025,0.0026,0.0545,0.0094,0.0051,0.0019,0.0087,0.000657,0.0216,0.0034,0.021,0.0067,0.0073,0.0015,0.0325,0.0107,0.0199,4,4,4
3,0.009,0.0095,0.0017,0.0425,0.0079,0.0087,0.0236,0.0059,0.0014,0.0863,0.0147,0.0097,0.0034,0.0064,0.0013,0.0988,0.0154,0.017,4,4,4
4,0.0036,0.0003,0.0014,0.0471,0.0106,0.0054,0.0016,0.0039,0.0014,0.0495,0.0128,0.0106,0.0481,0.0117,0.0027,0.0543,0.0157,0.0136,4,1,4
5,0.018,0.0058,0.0008,0.0189,0.0036,0.0097,0.0343,0.037,0.0008,0.023,0.0037,0.0079,0.0003,0.0022,0.0006,0.0782,0.0096,0.005,4,2,3
6,0.0039,0.0385,0.0014,0.05243888,0.0121511486807832,0.0123014,0.0013,0.0044,0.0007,0.0483,0.014,0.0095,0.0098,0.0005,0.0011,0.0600787,0.0173779650465916,0.012973,4,3,4
7,0.0017,0.002,0.0017,0.0234,0.0096,0.0123,0.007,0.0017,0.0018,0.0488,0.0116,0.0155,0.0012,0.0056,0.0032,0.050296,0.0173013427898915,0.0125923,4,3,4
8,0.0046,0.0035,0.0036,0.0173,0.0055,0.0048,0.0012,0.0101,0.0017,0.0286,0.0046,0.0089,0.0055,0.0071,0.0008,0.0415,0.0132,0.011,1,1,4
9,0.0063,0.0039,0.0011,0.0841,0.0092,0.017,0.0043,0.0075,0.0012,0.0364,0.0127,0.0138,0.0635,0.0337,0.0031,0.1065,0.0254,0.0169,4,1,4
10,0.0043,0.0043,0.0014,0.0448,0.015,0.0105,0.0063,0.0033,0.0012,0.0557,0.0126,0.0232,0.0002,0.003,0.0015,0.0111,0.0024,0.006,4,4,4
11,0.0043,0.0044,0.0039,0.0555,0.0176,0.0166,0.0686,0.0441,0.0015,0.0354,0.0153,0.0235,0.0051,0.0066,0.0015,0.0929,0.0167,0.0229,4,1,4
12,0.0565,0.0001,0.0037,0.0598,0.017,0.0205,0.0135,0.0025,0.0013,0.0676,0.0243,0.0242,0.0018,0.004,0.0005,0.036,0.0066,0.0059,1,2,3
13,0.0047,0.0011,0.0001,0.0194,0.0039,0.0072,0.0043,0.0001,0.0012,0.0178,0.0049,0.0082,0.0012,0.0013,0.0025,0.0151,0.0088,0.0117,4,1,4
14,0.005,0.0013,0.0013,0.0209,0.0019,0.0051,0.0036,0.0024,0.0008,0.022,0.0043,0.0075,0.0115,0.0034,0.0007,0.0535,0.0073,0.008,3,4,4
15,0.0015,0.0034,0.0008,0.0234,0.0033,0.0089,0.0018,0.0015,0.0006,0.026,0.0043,0.0033,0.0737,0.0004,0.0007,0.0316,0.0071,0.0162,1,3,3
16,0.0019,0.0034,0.0006,0.0164,0.0026,0.003,0.0536,0.0552,0.0019,0.02,0.0027,0.0104,0.0047,0.0023,0.0003,0.0272,0.0064,0.0105,4,1,3
17,0.0029,0.0012,0.002523,0.0856,0.0062,0.0177,0.0064,0.0031,0.001,0.0907,0.0133,0.0055,0.0068,0.0004,0.0011,0.0435,0.0042,0.0049,4,3,4
18,0.0001,0.0004,0.0018,0.0527,0.0031,0.0039,0.01,0.0164,0.0007,0.0322,0.0041,0.0052,0.0031,0.0015,0.0009,0.0075,0.0012,0.0047,3,1,3
